target,model_name,split_name,leaky_protocol,clean_protocol,effect_metric,n_paired_folds,mean_effect,median_effect,sd_effect,positive_effect_fraction
average_voltage,Ridge,leave_chemical_system_out,P4,P3,mae_clean_minus_leaky,75,0.4432027548551012,0.3825153211247715,0.21211290247123496,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P3,rmse_clean_minus_leaky,75,0.5420643198662372,0.49038075968668593,0.25682986439437383,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P3,r2_leaky_minus_clean,75,0.997276615969501,0.740819088883972,0.9350081984530252,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P3,spearman_leaky_minus_clean,75,0.3457259406633513,0.28387096774193543,0.25726103283168483,1.0
average_voltage,Ridge,leave_family_out,P0,P1,mae_clean_minus_leaky,10,0.23620618206654687,0.4096229428583586,0.9719078961346678,0.8
average_voltage,Ridge,leave_family_out,P0,P1,rmse_clean_minus_leaky,10,0.1852704348321369,0.4879361679256267,0.9769367005685053,0.8
average_voltage,Ridge,leave_family_out,P0,P1,r2_leaky_minus_clean,10,-0.3549151962325265,0.714817791834855,7.248999495606955,0.8
average_voltage,Ridge,leave_family_out,P0,P1,spearman_leaky_minus_clean,10,0.423797886722069,0.44776866909571006,0.5558887991831468,0.8
average_voltage,Ridge,leave_family_out,P0,P2,mae_clean_minus_leaky,10,0.23633953672448688,0.4210252276961788,1.0274558273505825,0.8
average_voltage,Ridge,leave_family_out,P0,P2,rmse_clean_minus_leaky,10,0.17676503703914798,0.47280324011716995,1.0274452424413456,0.8
average_voltage,Ridge,leave_family_out,P0,P2,r2_leaky_minus_clean,10,-0.27494875255172263,0.6203051284457541,7.4979598094803315,0.8
average_voltage,Ridge,leave_family_out,P0,P2,spearman_leaky_minus_clean,10,0.29539789492599766,0.39608486622168393,0.49438534432639253,0.8
average_voltage,Ridge,leave_family_out,P0,P3,mae_clean_minus_leaky,10,-0.08573467842794738,0.11760545315314883,0.8298620822747861,0.8
average_voltage,Ridge,leave_family_out,P0,P3,rmse_clean_minus_leaky,10,-0.17095703097901083,0.1442798508360908,0.9234183476990501,0.7
average_voltage,Ridge,leave_family_out,P0,P3,r2_leaky_minus_clean,10,-2.80749164805015,0.12091779986850415,8.501123437223734,0.7
average_voltage,Ridge,leave_family_out,P0,P3,spearman_leaky_minus_clean,10,0.05276925473946479,0.09782844651696809,0.42652716082941683,0.8
average_voltage,Ridge,leave_family_out,P4,P1,mae_clean_minus_leaky,10,1.3070460805546915,0.9405390975377158,0.7912482597633704,1.0
