protocol,split_name,fold_id,heldout_group,any_negative_prediction_rate__softconstrained_direct,any_negative_prediction_rate__unconstrained_direct,energy_consistency_mae__softconstrained_direct,energy_consistency_mae__unconstrained_direct,stability_consistency_mae__softconstrained_direct,stability_consistency_mae__unconstrained_direct,energy_consistency_reduction,stability_consistency_reduction,negative_rate_reduction
P2,framework_groupkfold,2,K|BiPCO7|K|CePCO7|K|CoO2|K|CrF6|K|Cs2AgF6|K|Cs2MoBr6|K|Cs2SbCl6|K|FeF3|K|FeH12(SO7)2|K|FePO4F|K|LiSbF6|K|Mn2P2O7F2|K|MnH8(SO6)2|K|Mo3S4|K|Na2NiO2|K|Nb3Se4|K|NdNb4O12|K|NiF6|K|PrNb4O12|K|Rb2MnF6,0.153125,0.2125,21.980239868164062,47.02394485473633,0.0103334840387105,0.0171791017055511,25.043704986572266,0.006845617666840598,0.05937499999999998
P2,framework_groupkfold,3,K|Bi(PO3)4|K|Cd2Cu(SO)2|K|CoH8(CO5)2|K|CrF3|K|CrPO4F|K|CrS2|K|Cs2MnF6|K|Cs2SbBr6|K|Fe11O17|K|FePO4|K|LiNbF6|K|Mn(PO3)3|K|MnH6(S2O9)2|K|Mo2O3|K|Na2FeO3|K|Nb3S4|K|NbSe2|K|Ni4P4O15|K|P(W3O10)4|K|Rb2CuF6,0.11875,0.19375,21.406497955322266,41.57047653198242,0.0111408503726124,0.0153699535876512,20.163978576660156,0.004229103215038801,0.07500000000000001
P2,framework_groupkfold,4,K|AgO|K|Ca9Mn(PO4)7|K|CoF6|K|Cr3O8|K|CrPCO7|K|Cs2CuF6|K|Cs2PdF6|K|CuPCO7|K|FePCO7|K|LiMnF6|K|MgMn2O4|K|MnF6|K|Mo15Se19|K|MoS|K|NaSbF6|K|NbS2|K|Ni4(PO4)3|K|NiPCO7|K|Rb2CrF6|K|RbSb,0.1203125,0.15,25.509105682373047,54.44942474365234,0.0104684038087725,0.0143251148983836,28.94031906127929,0.0038567110896111003,0.02968749999999999
P2,leave_chemical_system_out,0,F-O-V,0.8104575163398693,0.2745098039215686,17.33529281616211,44.210540771484375,0.0126589136198163,0.0237979032099246,26.875247955322266,0.011138989590108301,-0.5359477124183007
P2,leave_chemical_system_out,1,Mn-O-P,0.059322033898305,0.1610169491525423,15.676050186157228,37.54433822631836,0.0077339368872344,0.0090084364637732,21.868288040161133,0.0012744995765388003,0.1016949152542373
P2,leave_chemical_system_out,2,Fe-O-P,0.0,0.0,23.666582107543945,58.82019805908203,0.0064264750108122,0.0295456387102603,35.153615951538086,0.0231191636994481,0.0
P2,leave_chemical_system_out,3,Cr-O-P,0.0595238095238095,0.4523809523809524,17.989742279052734,18.67701911926269,0.0099602658301591,0.0129823796451091,0.6872768402099574,0.0030221138149499997,0.3928571428571429
P2,leave_chemical_system_out,4,O-P-V,0.024390243902439,0.2073170731707317,23.46307373046875,42.5578498840332,0.0200871024280786,0.011965712532401,19.094776153564453,-0.0081213898956776,0.1829268292682927
P2,leave_chemical_system_out,5,Co-O-P,0.5789473684210527,0.0,20.42707061767578,35.11692428588867,0.004260045941919,0.0151985380798578,14.68985366821289,0.0109384921379388,-0.5789473684210527
P2,leave_chemical_system_out,6,Ni-O-P,0.0945945945945946,0.081081081081081,39.06536865234375,71.01342010498047,0.0077391234226524,0.0199109055101871,31.94805145263672,0.0121717820875347,-0.013513513513513598
